Vertices,Avg Odd extending Time,Avg Analysis Time,Probability,Time of computation
10,0.014,0.014,0,22_03_2026_18h5107
10,0.014,0.015,0,22_03_2026_18h5107
11,0.007,0.019,0,22_03_2026_18h5107
11,0.007,0.021,0,22_03_2026_18h5107
12,0.012,0.037,0,22_03_2026_18h5107
12,0.012,0.041,0,22_03_2026_18h5107
13,0.026,0.043,0,22_03_2026_18h5107
13,0.026,0.051,0,22_03_2026_18h5107
14,0.023,0.059,0,22_03_2026_18h5107
14,0.023,0.065,0,22_03_2026_18h5107
15,0.027,0.081,0,22_03_2026_18h5107
15,0.027,0.091,0,22_03_2026_18h5107
16,0.031,0.1,0,22_03_2026_18h5107
16,0.031,0.11,0,22_03_2026_18h5107
17,0.056,0.138,0,22_03_2026_18h5107
17,0.056,0.157,0,22_03_2026_18h5107
18,0.058,0.158,0,22_03_2026_18h5107
18,0.058,0.178,0,22_03_2026_18h5107
19,0.069,0.236,0,22_03_2026_18h5107
19,0.069,0.262,0,22_03_2026_18h5107
20,0.078,0.291,0,22_03_2026_18h5107
20,0.078,0.323,0,22_03_2026_18h5107
50,3.958,43.14,0,22_03_2026_18h52_12
50,3.958,70.924,0,22_03_2026_18h52_12
51,4.511,37.444,0,22_03_2026_18h52_12
51,4.511,55.688,0,22_03_2026_18h52_12
30,0.69,1.563,0,23_03_2026_09h26_50
30,0.69,1.725,0,23_03_2026_09h26_50
31,0.378,2.16,0,23_03_2026_09h26_50
31,0.378,2.647,0,23_03_2026_09h26_50
32,0.573,2.651,0,23_03_2026_09h26_50
32,0.573,2.962,0,23_03_2026_09h26_50
33,0.521,2.601,0,23_03_2026_09h26_50
33,0.521,2.905,0,23_03_2026_09h26_50
20,0.079,0.002,0,23_03_2026_10h36_01
21,0.059,0.001,0,23_03_2026_10h36_01
22,0.16,0.001,0,23_03_2026_10h36_01
23,0.133,0.001,0,23_03_2026_10h36_01
24,0.201,0.002,0,23_03_2026_10h36_01
25,0.157,0.002,0,23_03_2026_10h36_01
26,0.232,0.003,0,23_03_2026_10h36_01
27,0.304,0.002,0,23_03_2026_10h36_01
28,0.314,0.002,0,23_03_2026_10h36_01
29,0.336,0.002,0,23_03_2026_10h36_01
30,0.322,0.002,0,23_03_2026_10h36_01
31,0.465,0.003,0,23_03_2026_10h36_01
32,0.543,0.002,0,23_03_2026_10h36_01
33,0.425,0.002,0,23_03_2026_10h36_01
34,0.749,0.003,0,23_03_2026_10h36_01
35,0.924,0.003,0,23_03_2026_10h36_01
36,0.982,0.004,0,23_03_2026_10h36_01
37,0.825,0.003,0,23_03_2026_10h36_01
38,1.239,0.003,0,23_03_2026_10h36_01
39,0.793,994.161,0,23_03_2026_10h36_01
40,1.378,0.005,0,23_03_2026_10h36_01
100,73.641,0.03,0,23_03_2026_10h56_31
101,106.834,0.07,0,23_03_2026_10h56_31
102,91.826,0.035,0,23_03_2026_10h56_31
50,0.489,21.507,0,23_03_2026_12h13_40
50,0.423,222.645,0,23_03_2026_12h13_40
50,0.436,222.471,0,23_03_2026_12h13_40
50,0.525,222.465,0,23_03_2026_12h13_40
100,0.0,0.0,0.01,24_03_2026_13h41_15
100,0.0,0.0,0.03111111111111111,24_03_2026_13h41_15
100,0.0,0.0,0.052222222222222225,24_03_2026_13h41_15
100,0.0,0.0,0.01,24_03_2026_13h42_10
100,0.0,0.0,0.03111111111111111,24_03_2026_13h42_10
100,0.0,0.0,0.052222222222222225,24_03_2026_13h42_10
100,71.893,432.638,0.07333333333333333,24_03_2026_13h42_10
100,80.321,647.017,0.09444444444444444,24_03_2026_13h42_10
100,0.0,0.0,0.01,24_03_2026_16h01_21
100,0.0,0.0,0.03111111111111111,24_03_2026_16h01_21
100,0.0,0.0,0.052222222222222225,24_03_2026_16h01_21
100,0.0,0.0,0.07333333333333333,24_03_2026_16h01_21
100,0.0,0.0,0.09444444444444444,24_03_2026_16h01_21
100,0.0,0.0,0.11555555555555555,24_03_2026_16h01_21
100,0.0,0.0,0.1366666666666667,24_03_2026_16h01_21
100,0.0,0.0,0.1577777777777778,24_03_2026_16h01_21
100,0.0,0.0,0.1788888888888889,24_03_2026_16h01_21
100,0.0,0.0,0.2,24_03_2026_16h01_21
100,0.0,0.0,0.01,24_03_2026_16h02_49
100,0.0,0.0,0.03111111111111111,24_03_2026_16h02_49
100,0.0,0.0,0.052222222222222225,24_03_2026_16h02_49
100,0.0,0.0,0.07333333333333333,24_03_2026_16h02_49
100,0.0,0.0,0.09444444444444444,24_03_2026_16h02_49
100,0.0,0.0,0.11555555555555555,24_03_2026_16h02_49
100,0.0,0.0,0.1366666666666667,24_03_2026_16h02_49
100,0.0,0.0,0.1577777777777778,24_03_2026_16h02_49
100,0.0,0.0,0.1788888888888889,24_03_2026_16h02_49
100,0.0,0.0,0.2,24_03_2026_16h02_49
100,0.0,0.0,0.01,24_03_2026_16h03_51
100,0.0,0.0,0.03111111111111111,24_03_2026_16h03_51
100,0.0,0.0,0.052222222222222225,24_03_2026_16h03_51
100,0.0,0.0,0.01,24_03_2026_16h09_31
100,0.0,0.0,0.03111111111111111,24_03_2026_16h09_31
100,0.0,0.0,0.052222222222222225,24_03_2026_16h09_31
100,0.0,0.0,0.07333333333333333,24_03_2026_16h09_31
100,0.0,0.0,0.09444444444444444,24_03_2026_16h09_31
