id,Vertices,Parameter,Probability,Creation Time,Analysis Time,Timestamp,Exit via Timeout,Time Limit
54,50,11,0.2,2.0394,1100.2456,09:47:59,True,1100s
55,50,12,0.2,3.5423,1100.333,10:06:23,True,1100s
56,45,20,0.4,1.7587,2107.4181,13:06:39,True,1050s
69,40,10,0.4,0.9322,205.4225,14:20:38,False,1000s
70,40,10,0.41111111111111115,1.039,8.0699,14:20:47,False,1000s
71,40,10,0.4222222222222222,2.1926,6.093,14:20:55,False,1000s
72,50,20,0.4,2.9646,16.2533,15:37:39,False,1100s
73,50,21,0.4,3.9181,58.6303,15:38:42,False,1100s
74,50,20,0.4,3.4746,18.243,15:39:36,False,1100s
75,50,21,0.4,2.8504,1100.3779,15:58:01,True,1100s
76,50,22,0.4,3.0902,25.5394,15:58:29,False,1100s
77,50,23,0.4,2.5228,16.5643,15:58:48,False,1100s
78,50,24,0.4,2.8981,16.9778,15:59:08,False,1100s
79,50,25,0.4,2.6803,1100.4684,16:17:31,True,1100s
80,50,26,0.4,2.8624,17.2061,16:17:52,False,1100s
81,50,27,0.4,5.5513,1100.4068,16:36:18,True,1100s
82,50,28,0.4,2.6617,34.9407,16:36:55,False,1100s
83,50,29,0.4,3.043,251.2317,16:41:10,False,1100s
84,50,30,0.4,3.1722,19.8934,16:41:33,False,1100s
85,50,20,0.41000000000000003,3.0567,22.4449,16:41:58,False,1100s
86,50,21,0.41000000000000003,2.9383,21.5077,16:42:23,False,1100s
